"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time"
"r_genieclust_fastmst",0.0149999999999999,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757156
"pico_tree",0.0140000000000002,0,0.0140000000000011,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_dbscan",0.036,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_rann_kd",0.0409999999999999,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_rann_bd",0.0580000000000001,0,0.0569999999999986,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_Rnanoflann",3.346,0,3.346,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_nabor",0.00399999999999956,0,0.00399999999999956,-4489.32724425109,0,10000,10000,5,1,1,1750757156
"py_genieclust_fastmst",0.0149999999999997,0,0.0149999999999988,0,4489.32724425109,0,10000,5,1,1,1750757156
"py_pykdtree",0.0219999999999994,0,0.0220000000000002,0,4489.32724425109,0,10000,5,1,1,1750757156
"py_sklearn_neighbours",0.0949999999999998,0.002,0.0980000000000008,0,4489.32724425109,0,10000,5,1,1,1750757156
"r_genieclust_fastmst",0.0149999999999999,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757161
"pico_tree",0.0140000000000002,0,0.0140000000000011,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_dbscan",0.036,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_rann_kd",0.0409999999999999,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_rann_bd",0.0580000000000001,0,0.0569999999999986,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_Rnanoflann",3.346,0,3.346,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_nabor",0.00399999999999956,0,0.00399999999999956,-4489.32724425109,0,10000,10000,5,1,1,1750757161
"py_genieclust_fastmst",0.0149999999999997,0,0.0149999999999988,0,4489.32724425109,0,10000,5,1,1,1750757161
"py_pykdtree",0.0219999999999994,0,0.0220000000000002,0,4489.32724425109,0,10000,5,1,1,1750757161
"py_sklearn_neighbours",0.0949999999999998,0.002,0.0980000000000008,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757161
"pico_tree",0.0139999999999993,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_dbscan",0.0469999999999997,0,0.0469999999999988,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_rann_kd",0.0410000000000004,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_rann_bd",0.0590000000000002,0,0.0589999999999993,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_Rnanoflann",3.339,0,3.339,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_nabor",0.00699999999999967,0,0.0069999999999979,-4489.32724425109,0,10000,10000,5,1,1,1750757161
"py_genieclust_fastmst",0.0169999999999995,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757161
"py_pykdtree",0.0180000000000007,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757161
"py_sklearn_neighbours",0.0530000000000008,0,0.0539999999999985,0,4489.32724425109,0,10000,5,1,1,1750757161
"r_genieclust_fastmst",0.0149999999999999,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757165
"pico_tree",0.0140000000000002,0,0.0140000000000011,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_dbscan",0.036,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_kd",0.0409999999999999,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_bd",0.0580000000000001,0,0.0569999999999986,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_Rnanoflann",3.346,0,3.346,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_nabor",0.00399999999999956,0,0.00399999999999956,-4489.32724425109,0,10000,10000,5,1,1,1750757165
"py_genieclust_fastmst",0.0149999999999997,0,0.0149999999999988,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_pykdtree",0.0219999999999994,0,0.0220000000000002,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_sklearn_neighbours",0.0949999999999998,0.002,0.0980000000000008,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757165
"pico_tree",0.0139999999999993,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_dbscan",0.0469999999999997,0,0.0469999999999988,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_kd",0.0410000000000004,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_bd",0.0590000000000002,0,0.0589999999999993,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_Rnanoflann",3.339,0,3.339,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_nabor",0.00699999999999967,0,0.0069999999999979,-4489.32724425109,0,10000,10000,5,1,1,1750757165
"py_genieclust_fastmst",0.0169999999999995,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_pykdtree",0.0180000000000007,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_sklearn_neighbours",0.0530000000000008,0,0.0539999999999985,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_genieclust_fastmst",0.0139999999999993,0,0.014999999999997,0,4489.32724425109,0,10000,5,1,1,1750757165
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_dbscan",0.036999999999999,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_kd",0.0389999999999997,0,0.0389999999999979,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_rann_bd",0.0560000000000009,0,0.0560000000000009,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_Rnanoflann",3.318,0,3.318,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_nabor",0.00400000000000134,0,0.00400000000000134,-4489.32724425109,0,10000,10000,5,1,1,1750757165
"py_genieclust_fastmst",0.0150000000000006,0,0.0150000000000006,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_pykdtree",0.0179999999999989,0,0.0179999999999971,0,4489.32724425109,0,10000,5,1,1,1750757165
"py_sklearn_neighbours",0.0500000000000007,0,0.0500000000000007,0,4489.32724425109,0,10000,5,1,1,1750757165
"r_genieclust_fastmst",0.0400000000000009,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757169
"pico_tree",0.0370000000000008,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_rann_kd",0.119999999999999,0.002,0.120999999999999,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_rann_bd",0.174999999999999,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_Rnanoflann",3.331,0.001,3.332,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_nabor",0.0449999999999982,0,0.0459999999999994,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757169
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757169
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757169
"py_sklearn_neighbours",0.108999999999998,0.001,0.109000000000002,0,64788.6666554405,0,10000,5,10,1,1750757169
"r_genieclust_fastmst",0.0400000000000009,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757174
"pico_tree",0.0370000000000008,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_rann_kd",0.119999999999999,0.002,0.120999999999999,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_rann_bd",0.174999999999999,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_Rnanoflann",3.331,0.001,3.332,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_nabor",0.0449999999999982,0,0.0459999999999994,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757174
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757174
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757174
"py_sklearn_neighbours",0.108999999999998,0.001,0.109000000000002,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_genieclust_fastmst",0.0400000000000027,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757174
"pico_tree",0.036999999999999,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_dbscan",0.0940000000000012,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_rann_kd",0.120999999999999,0.001,0.122,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_rann_bd",0.175000000000001,0.001,0.177,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_Rnanoflann",3.332,0,3.332,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_nabor",0.0449999999999982,0,0.0449999999999982,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757174
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757174
"py_pykdtree",0.0470000000000006,0.001,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757174
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_genieclust_fastmst",0.0400000000000009,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.0370000000000008,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.119999999999999,0.002,0.120999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.174999999999999,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.331,0.001,3.332,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0449999999999982,0,0.0459999999999994,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.108999999999998,0.001,0.109000000000002,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_fastmst",0.0400000000000027,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.036999999999999,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0940000000000012,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.120999999999999,0.001,0.122,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.175000000000001,0.001,0.177,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.332,0,3.332,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0449999999999982,0,0.0449999999999982,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0470000000000006,0.001,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_fastmst",0.0399999999999991,0.001,0.0410000000000039,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.0380000000000003,0,0.036999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0949999999999989,0,0.095000000000006,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.119,0.003,0.122,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.177,0,0.177,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.318,0.001,3.319,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0450000000000017,0,0.0449999999999946,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000039,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0480000000000018,0.001,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757260
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_rann_kd",0.04,0,0.0409999999999986,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_rann_bd",0.0569999999999999,0,0.0570000000000004,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_Rnanoflann",3.377,0,3.377,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_nabor",0.0169999999999995,0,0.0170000000000012,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_genieclust_fastmst",0.0150000000000006,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_pykdtree",0.0219999999999994,0,0.0210000000000008,0,4489.32724425109,0,10000,5,1,1,1750757260
"py_sklearn_neighbours",0.0899999999999999,0.00600000000000001,0.0960000000000001,0,4489.32724425109,0,10000,5,1,1,1750757260
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757264
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_kd",0.04,0,0.0409999999999986,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_bd",0.0569999999999999,0,0.0570000000000004,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_Rnanoflann",3.377,0,3.377,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_nabor",0.0169999999999995,0,0.0170000000000012,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_genieclust_fastmst",0.0150000000000006,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_pykdtree",0.0219999999999994,0,0.0210000000000008,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_sklearn_neighbours",0.0899999999999999,0.00600000000000001,0.0960000000000001,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_brute",0.146,0,0.145999999999999,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_fastmst",0.016,0,0.0150000000000006,0,4489.32724425109,0,10000,5,1,1,1750757264
"pico_tree",0.0150000000000006,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_dbscan",0.0379999999999994,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_kd",0.0419999999999998,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_rann_bd",0.0599999999999996,0,0.0590000000000011,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_Rnanoflann",3.293,0.001,3.292,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_nabor",0.0200000000000014,0,0.0199999999999996,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_genieclust_fastmst",0.0169999999999995,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_pykdtree",0.0179999999999989,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757264
"py_sklearn_neighbours",0.0530000000000008,0,0.0530000000000008,0,4489.32724425109,0,10000,5,1,1,1750757264
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_fastmst",0.016,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757269
"pico_tree",0.0129999999999999,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_dbscan",0.036,0,0.0359999999999996,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_kd",0.04,0,0.0409999999999986,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_bd",0.0569999999999999,0,0.0570000000000004,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_Rnanoflann",3.377,0,3.377,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_nabor",0.0169999999999995,0,0.0170000000000012,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_genieclust_fastmst",0.0150000000000006,0,0.016,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_pykdtree",0.0219999999999994,0,0.0210000000000008,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_sklearn_neighbours",0.0899999999999999,0.00600000000000001,0.0960000000000001,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_brute",0.146,0,0.145999999999999,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_fastmst",0.016,0,0.0150000000000006,0,4489.32724425109,0,10000,5,1,1,1750757269
"pico_tree",0.0150000000000006,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_dbscan",0.0379999999999994,0,0.036999999999999,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_kd",0.0419999999999998,0,0.0410000000000004,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_bd",0.0599999999999996,0,0.0590000000000011,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_Rnanoflann",3.293,0.001,3.292,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_nabor",0.0200000000000014,0,0.0199999999999996,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_genieclust_fastmst",0.0169999999999995,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_pykdtree",0.0179999999999989,0,0.0180000000000007,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_sklearn_neighbours",0.0530000000000008,0,0.0530000000000008,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_brute",0.142999999999999,0,0.144000000000002,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_fastmst",0.0139999999999993,0,0.0139999999999993,0,4489.32724425109,0,10000,5,1,1,1750757269
"pico_tree",0.0129999999999999,0,0.0129999999999981,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_dbscan",0.0359999999999996,0,0.0360000000000014,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_kd",0.0390000000000015,0,0.0389999999999979,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_rann_bd",0.0570000000000004,0,0.0560000000000009,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_Rnanoflann",3.322,0,3.323,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_nabor",0.0180000000000007,0,0.0169999999999995,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_genieclust_fastmst",0.016,0,0.014999999999997,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_pykdtree",0.0179999999999989,0,0.0169999999999995,0,4489.32724425109,0,10000,5,1,1,1750757269
"py_sklearn_neighbours",0.0499999999999989,0,0.0500000000000007,0,4489.32724425109,0,10000,5,1,1,1750757269
"r_genieclust_brute",0.161,0.001,0.162000000000003,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_genieclust_fastmst",0.0410000000000004,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757274
"pico_tree",0.036999999999999,0.001,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_rann_kd",0.119,0.003,0.122,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_rann_bd",0.177,0,0.177,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_Rnanoflann",3.345,0,3.345,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_nabor",0.0479999999999983,0,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757274
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757274
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757274
"py_sklearn_neighbours",0.108999999999998,0.000999999999999973,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757274
"r_genieclust_brute",0.161,0.001,0.162000000000003,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_genieclust_fastmst",0.0410000000000004,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757279
"pico_tree",0.036999999999999,0.001,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_rann_kd",0.119,0.003,0.122,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_rann_bd",0.177,0,0.177,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_Rnanoflann",3.345,0,3.345,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_nabor",0.0479999999999983,0,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_sklearn_neighbours",0.108999999999998,0.000999999999999973,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_genieclust_brute",0.161999999999999,0,0.161999999999999,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_genieclust_fastmst",0.0399999999999991,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757279
"pico_tree",0.0370000000000026,0,0.0370000000000026,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_dbscan",0.0939999999999976,0,0.0949999999999989,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_rann_kd",0.119,0.002,0.122,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_rann_bd",0.175000000000001,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_Rnanoflann",3.342,0,3.341,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_nabor",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_genieclust_fastmst",0.0389999999999979,0.001,0.0409999999999968,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_pykdtree",0.0500000000000007,0.001,0.0510000000000019,0,64788.6666554405,0,10000,5,10,1,1750757279
"py_sklearn_neighbours",0.109999999999999,0,0.110000000000007,0,64788.6666554405,0,10000,5,10,1,1750757279
"r_genieclust_brute",0.161,0.001,0.162000000000003,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_genieclust_fastmst",0.0410000000000004,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757284
"pico_tree",0.036999999999999,0.001,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_kd",0.119,0.003,0.122,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_bd",0.177,0,0.177,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_Rnanoflann",3.345,0,3.345,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_nabor",0.0479999999999983,0,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_sklearn_neighbours",0.108999999999998,0.000999999999999973,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_genieclust_brute",0.161999999999999,0,0.161999999999999,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_genieclust_fastmst",0.0399999999999991,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757284
"pico_tree",0.0370000000000026,0,0.0370000000000026,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_dbscan",0.0939999999999976,0,0.0949999999999989,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_kd",0.119,0.002,0.122,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_bd",0.175000000000001,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_Rnanoflann",3.342,0,3.341,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_nabor",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_genieclust_fastmst",0.0389999999999979,0.001,0.0409999999999968,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_pykdtree",0.0500000000000007,0.001,0.0510000000000019,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_sklearn_neighbours",0.109999999999999,0,0.110000000000007,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_genieclust_brute",0.162000000000003,0,0.163000000000004,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_genieclust_fastmst",0.0399999999999991,0.001,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757284
"pico_tree",0.036999999999999,0.001,0.0380000000000038,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_dbscan",0.093,0.001,0.0949999999999989,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_kd",0.120999999999999,0.001,0.122,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_rann_bd",0.175999999999998,0,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_Rnanoflann",3.335,0,3.33499999999999,0,64788.6666554405,0,10000,5,10,1,1750757284
"r_nabor",0.0479999999999983,0,0.0480000000000018,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_genieclust_fastmst",0.0400000000000027,0.001,0.0409999999999968,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757284
"py_sklearn_neighbours",0.109999999999999,0,0.109000000000002,0,64788.6666554405,0,10000,5,10,1,1750757284
