"battery","dataset","n","d","di"
"wut","circles",4000,2,0.9741154503745588
"wut","cross",2000,2,0.9013085656553294
"wut","graph",2500,2,1.283159596118297
"wut","isolation",9000,2,1.2164629248117804
"wut","labirynth",3546,2,1.6423271734736427
"wut","mk1",300,2,1.4764034960372803
"wut","mk2",1000,2,0.900660119864767
"wut","mk3",600,3,2.4567402531773306
"wut","mk4",1500,3,1.5062734169989405
"wut","olympic",5000,2,1.5911832606754643
"wut","smile",1000,2,1.0885355595463448
"wut","stripes",5000,2,1.5535116269411986
"wut","trajectories",10000,2,1.6534767061808842
"wut","trapped_lovers",5000,3,1.9963197606779148
"wut","twosplashes",400,2,1.2220296930378283
"wut","windows",2977,2,1.5312131731192247
"wut","x1",120,2,1.4767777556986792
"wut","x2",120,2,1.5253692440924185
"wut","x3",185,2,1.6068318242035047
"wut","z1",192,2,1.0586922450264433
"wut","z2",900,2,1.5269219043123712
"wut","z3",1000,2,1.4948090279724833
"graves","dense",200,2,1.6407401523326723
"graves","fuzzyx",1000,2,1.562726954107185
"graves","line",250,2,1.307659058123826
"graves","parabolic",1000,2,1.5535157292122224
"graves","ring",1000,2,1.3422755322313649
"graves","ring_noisy",1050,2,1.3706751912540232
"graves","ring_outliers",1030,2,1.3103112320461856
"graves","zigzag",250,2,1.1769768146379265
"graves","zigzag_noisy",300,2,1.3143079005621041
"graves","zigzag_outliers",280,2,1.169998889933325
"uci","ecoli",336,7,3.296578116157817
"uci","glass",214,9,3.818579054585256
"uci","ionosphere",351,33,10.362763249220736
"uci","sonar",208,60,6.4047774332976575
"uci","statlog",2310,18,2.6846258338434055
"uci","wdbc",569,30,2.6894589924264407
"uci","wine",178,13,1.6875300616090774
"uci","yeast",1484,8,4.957116549900781
"other","chameleon_t4_8k",8000,2,1.5690336516879317
"other","chameleon_t5_8k",8000,2,1.5731512938455983
"other","chameleon_t7_10k",10000,2,1.6873417208074977
"other","chameleon_t8_8k",8000,2,1.5827699111169278
"other","hdbscan",2309,2,1.5748537946831456
"other","iris",150,4,2.651164621606955
"other","iris5",105,4,2.2874426237392718
"other","square",1000,2,1.332852924381616
"fcps","atom",800,3,1.9831995430425684
"fcps","chainlink",1000,3,1.9027413922557244
"fcps","engytime",4096,2,1.6955246230991123
"fcps","hepta",212,3,2.059452850834893
"fcps","lsun",400,2,1.4396705013056712
"fcps","target",770,2,1.4677448737013392
"fcps","tetra",400,3,2.141330702729174
"fcps","twodiamonds",800,2,1.5423626106116952
"fcps","wingnut",1016,2,1.5278194932424278
"sipu","a1",3000,2,1.7022289246818376
"sipu","a2",5250,2,1.6297913468296676
"sipu","a3",7500,2,1.627275660523568
"sipu","aggregation",788,2,1.5852065509470303
"sipu","birch1",100000,2,1.695113370609989
"sipu","birch2",100000,2,1.7032614668555857
"sipu","compound",399,2,1.3787876485386077
"sipu","d31",3100,2,1.704867099037837
"sipu","flame",240,2,1.5912041557669854
"sipu","jain",373,2,1.4432931138780127
"sipu","pathbased",300,2,1.2996621993392274
"sipu","r15",600,2,1.62069134305033
"sipu","s1",5000,2,1.6307408064850055
"sipu","s2",5000,2,1.636990670873725
"sipu","s3",5000,2,1.6253354002530656
"sipu","s4",5000,2,1.6246150212508303
"sipu","spiral",312,2,0.8010259408603643
"sipu","unbalance",6500,2,1.61856327481331
"sipu","worms_2",105600,2,1.6954419556441132
"sipu","worms_64",105000,64,44.75054837398831
"mnist","digits",70000,719,14.15456975063302
"mnist","fashion",70000,784,16.900722909208472
"g2mg","g2mg_1_10",2048,1,0.7504613021219735
"g2mg","g2mg_1_20",2048,1,0.6438021216916736
"g2mg","g2mg_1_30",2048,1,0.5178957530653627
"g2mg","g2mg_1_40",2048,1,0.36572717435597923
"g2mg","g2mg_1_50",2048,1,0.29348476574722726
"g2mg","g2mg_1_60",2048,1,0.2685224491142478
"g2mg","g2mg_1_70",2048,1,0.30750597769520127
"g2mg","g2mg_1_80",2048,1,0.36850383100713546
"g2mg","g2mg_1_90",2048,1,0.400286638263418
"g2mg","g2mg_2_10",2048,2,1.5933848821870198
"g2mg","g2mg_2_20",2048,2,1.6010892173458287
"g2mg","g2mg_2_30",2048,2,1.5867584028993362
"g2mg","g2mg_2_40",2048,2,1.58457219503467
"g2mg","g2mg_2_50",2048,2,1.5800934662161041
"g2mg","g2mg_2_60",2048,2,1.5754276036753985
"g2mg","g2mg_2_70",2048,2,1.5877557356290044
"g2mg","g2mg_2_80",2048,2,1.5885696627532124
"g2mg","g2mg_2_90",2048,2,1.5891672276307696
"g2mg","g2mg_4_10",2048,4,3.1653605101623605
"g2mg","g2mg_4_20",2048,4,3.1634750011510695
"g2mg","g2mg_4_30",2048,4,3.1627790779436995
"g2mg","g2mg_4_40",2048,4,3.15913799158625
"g2mg","g2mg_4_50",2048,4,3.1606027696635803
"g2mg","g2mg_4_60",2048,4,3.1463926406241156
"g2mg","g2mg_4_70",2048,4,3.1461859138218253
"g2mg","g2mg_4_80",2048,4,3.164233789030927
"g2mg","g2mg_4_90",2048,4,3.1628661050364464
"g2mg","g2mg_8_10",2048,8,6.016690552740904
"g2mg","g2mg_8_20",2048,8,6.02179849576647
"g2mg","g2mg_8_30",2048,8,6.030756679574868
"g2mg","g2mg_8_40",2048,8,6.035958112476491
"g2mg","g2mg_8_50",2048,8,6.057726245254584
"g2mg","g2mg_8_60",2048,8,6.061804366226647
"g2mg","g2mg_8_70",2048,8,6.065778081351171
"g2mg","g2mg_8_80",2048,8,6.070750343686808
"g2mg","g2mg_8_90",2048,8,6.101086830140316
"g2mg","g2mg_16_10",2048,16,10.55207309659681
"g2mg","g2mg_16_20",2048,16,10.568922900083995
"g2mg","g2mg_16_30",2048,16,10.659438941237067
"g2mg","g2mg_16_40",2048,16,10.790358360223202
"g2mg","g2mg_16_50",2048,16,10.862892659007729
"g2mg","g2mg_16_60",2048,16,10.899931859131025
"g2mg","g2mg_16_70",2048,16,10.880625902642109
"g2mg","g2mg_16_80",2048,16,10.919101323650342
"g2mg","g2mg_16_90",2048,16,10.981109878634557
"g2mg","g2mg_32_10",2048,32,17.2624325077241
"g2mg","g2mg_32_20",2048,32,17.298746448036923
"g2mg","g2mg_32_30",2048,32,17.43381752225659
"g2mg","g2mg_32_40",2048,32,17.79959966270947
"g2mg","g2mg_32_50",2048,32,17.893171779441843
"g2mg","g2mg_32_60",2048,32,18.08221427091835
"g2mg","g2mg_32_70",2048,32,18.091972704693827
"g2mg","g2mg_32_80",2048,32,18.188569591633428
"g2mg","g2mg_32_90",2048,32,18.24738311547123
"g2mg","g2mg_64_10",2048,64,26.677367576877465
"g2mg","g2mg_64_20",2048,64,26.799837660251058
"g2mg","g2mg_64_30",2048,64,27.23578910662802
"g2mg","g2mg_64_40",2048,64,27.76638993616894
"g2mg","g2mg_64_50",2048,64,28.099071460520562
"g2mg","g2mg_64_60",2048,64,28.24869368182677
"g2mg","g2mg_64_70",2048,64,28.26632800322562
"g2mg","g2mg_64_80",2048,64,28.387441565371176
"g2mg","g2mg_64_90",2048,64,28.517248923528115
"g2mg","g2mg_128_10",2048,128,40.274413660102425
"g2mg","g2mg_128_20",2048,128,40.43749058095607
"g2mg","g2mg_128_30",2048,128,41.503387752325565
"g2mg","g2mg_128_40",2048,128,42.27698149688098
"g2mg","g2mg_128_50",2048,128,42.441913503853115
"g2mg","g2mg_128_60",2048,128,42.78146063746645
"g2mg","g2mg_128_70",2048,128,43.11701288562334
"g2mg","g2mg_128_80",2048,128,43.042903931339254
"g2mg","g2mg_128_90",2048,128,43.01339681271022
"h2mg","h2mg_1_10",2048,1,0.6990955815205413
"h2mg","h2mg_1_20",2048,1,0.6298634519451214
"h2mg","h2mg_1_30",2048,1,0.4526359940483083
"h2mg","h2mg_1_40",2048,1,0.3885292457423206
"h2mg","h2mg_1_50",2048,1,0.33376227526718993
"h2mg","h2mg_1_60",2048,1,0.3164778893200201
"h2mg","h2mg_1_70",2048,1,0.34373219396695653
"h2mg","h2mg_1_80",2048,1,0.3677481848645331
"h2mg","h2mg_1_90",2048,1,0.3990461554881888
"h2mg","h2mg_2_10",2048,2,1.5954675332478152
"h2mg","h2mg_2_20",2048,2,1.5884440890569813
"h2mg","h2mg_2_30",2048,2,1.5923325779920452
"h2mg","h2mg_2_40",2048,2,1.5913710278273725
"h2mg","h2mg_2_50",2048,2,1.5910644114411663
"h2mg","h2mg_2_60",2048,2,1.5888218094802937
"h2mg","h2mg_2_70",2048,2,1.577246542378405
"h2mg","h2mg_2_80",2048,2,1.5833746135673645
"h2mg","h2mg_2_90",2048,2,1.570052579371728
"h2mg","h2mg_4_10",2048,4,3.3110681170157514
"h2mg","h2mg_4_20",2048,4,3.304195113473404
"h2mg","h2mg_4_30",2048,4,3.30550062090279
"h2mg","h2mg_4_40",2048,4,3.29554363249508
"h2mg","h2mg_4_50",2048,4,3.313971626157403
"h2mg","h2mg_4_60",2048,4,3.30653980003987
"h2mg","h2mg_4_70",2048,4,3.288369073362581
"h2mg","h2mg_4_80",2048,4,3.2883384642029267
"h2mg","h2mg_4_90",2048,4,3.2943912171241267
"h2mg","h2mg_8_10",2048,8,6.734179292228546
"h2mg","h2mg_8_20",2048,8,6.723642768624198
"h2mg","h2mg_8_30",2048,8,6.726089718706733
"h2mg","h2mg_8_40",2048,8,6.720513060831335
"h2mg","h2mg_8_50",2048,8,6.700452847539703
"h2mg","h2mg_8_60",2048,8,6.724843189152963
"h2mg","h2mg_8_70",2048,8,6.726210584516476
"h2mg","h2mg_8_80",2048,8,6.722764916061232
"h2mg","h2mg_8_90",2048,8,6.721457472916763
"h2mg","h2mg_16_10",2048,16,13.834249377700344
"h2mg","h2mg_16_20",2048,16,13.790554041817249
"h2mg","h2mg_16_30",2048,16,13.771371524198885
"h2mg","h2mg_16_40",2048,16,13.690244041773987
"h2mg","h2mg_16_50",2048,16,13.687648591733385
"h2mg","h2mg_16_60",2048,16,13.700185373052385
"h2mg","h2mg_16_70",2048,16,13.722640770840082
"h2mg","h2mg_16_80",2048,16,13.72110557842047
"h2mg","h2mg_16_90",2048,16,13.725360701818737
"h2mg","h2mg_32_10",2048,32,27.384898546913043
"h2mg","h2mg_32_20",2048,32,27.39310048961142
"h2mg","h2mg_32_30",2048,32,27.362407131423385
"h2mg","h2mg_32_40",2048,32,27.350274161486894
"h2mg","h2mg_32_50",2048,32,27.465526386820017
"h2mg","h2mg_32_60",2048,32,27.462514975165384
"h2mg","h2mg_32_70",2048,32,27.39294679984667
"h2mg","h2mg_32_80",2048,32,27.364962340700277
"h2mg","h2mg_32_90",2048,32,27.34223390141012
"h2mg","h2mg_64_10",2048,64,54.356291564913555
"h2mg","h2mg_64_20",2048,64,54.50549406536511
"h2mg","h2mg_64_30",2048,64,54.64322668421029
"h2mg","h2mg_64_40",2048,64,54.58561560556883
"h2mg","h2mg_64_50",2048,64,54.36741293775492
"h2mg","h2mg_64_60",2048,64,54.158884628499955
"h2mg","h2mg_64_70",2048,64,54.03473572845016
"h2mg","h2mg_64_80",2048,64,53.94954546804394
"h2mg","h2mg_64_90",2048,64,53.92310739287836
"h2mg","h2mg_128_10",2048,128,107.47126961885121
"h2mg","h2mg_128_20",2048,128,107.62033820899643
"h2mg","h2mg_128_30",2048,128,107.40569460495412
"h2mg","h2mg_128_40",2048,128,107.10759994522435
"h2mg","h2mg_128_50",2048,128,106.93375850903078
"h2mg","h2mg_128_60",2048,128,106.88489761533118
"h2mg","h2mg_128_70",2048,128,106.87854187378156
"h2mg","h2mg_128_80",2048,128,106.7220960926768
"h2mg","h2mg_128_90",2048,128,106.61137491447472
